DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
6/23/2025,Ath Madrid,Botafogo RJ,SP1,BRA,1,0,H,5,3,11,16,9,3,0,1,0,0
6/23/2025,Seattle Sounders,Paris SG,USA,F1,0,2,A,0,7,4,9,6,7,0,1,0,0
6/23/2025,Porto,Al Ahly,P1,EGY,4,4,D,7,12,10,11,11,4,0,4,0,0
6/23/2025,Inter Miami,Palmeiras,USA,BRA,2,2,D,3,7,7,9,0,7,1,0,0,0
6/24/2025,Auckland City,Boca Juniors,NZ,ARG,1,1,D,2,10,3,12,2,20,0,0,0,0
6/24/2025,Benfica,Bayern Munich,P1,D1,1,0,H,4,4,7,9,3,6,3,0,0,0
6/24/2025,Los Angeles FC,Flamengo RJ,USA,BRA,,,,,,,,,,,,,
6/24/2025,Esperance,Chelsea,TUN,E0,,,,,,,,,,,,,
6/25/2025,Mamelodi Sundowns,Fluminense,SA,BRA,,,,,,,,,,,,,
6/25/2025,Dortmund,Ulsan,D1,KOR,,,,,,,,,,,,,
6/25/2025,Urawa Reds,Monterrey,JAP,MEX,,,,,,,,,,,,,
6/25/2025,Inter,River Plate,I1,ARG,,,,,,,,,,,,,
6/26/2025,Wydad Casablanca,Al-Ain,MOR,UAE,,,,,,,,,,,,,
6/26/2025,Juventus,Man City,I1,E0,,,,,,,,,,,,,
6/26/2025,Al Hilal,Pachuca,KSA,MEX,,,,,,,,,,,,,
6/26/2025,Salzburg,Real Madrid,AUT,SP1,,,,,,,,,,,,,
